budget,imdb_id,original_language,popularity,revenue,runtime,release_year,orig_lang_cd,collection,website,genre_name,g_Animation,g_Comedy,g_Family,g_Adventure,g_Fantasy,g_Romance,g_Drama,g_Action,g_Crime,g_Thriller,g_Horror,g_History,g_Mystery,g_War,g_Foreign,g_Music,g_Documentary,g_Western
12000000,tt0114011,en,8.681325,27400000.0,100.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Family']",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114117,en,2.228434,0.0,104.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18000000,tt0112682,fr,9.822423,1738611.0,108.0,1995.0,fr,no,no,"['Fantasy', 'Adventure']",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0115012,zh,1.100915,0.0,108.0,1995.0,other,no,no,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,tt0112792,en,9.481338,180000000.0,99.0,1995.0,en,no,no,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29500000,tt0114746,en,12.297305,168840000.0,129.0,1995.0,en,no,no,"['Thriller', 'Mystery']",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,tt0114952,fr,0.745542,0.0,50.0,1996.0,fr,no,no,"['Romance', 'Adventure']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30000000,tt0112431,en,14.404764,254134910.0,89.0,1995.0,en,yes,no,"['Fantasy', 'Drama', 'Comedy', 'Family']",0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112637,en,1.493361,0.0,121.0,1995.0,en,no,no,"['History', 'Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
11000000,tt0112818,en,6.891317,39363635.0,122.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112286,en,0.114469,0.0,51.0,1995.0,en,no,no,"['Adventure', 'History', 'Drama', 'Family']",0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,tt0113442,en,7.777735,0.0,101.0,1995.0,en,no,no,"['Comedy', 'Family', 'Romance']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12000000,tt0112697,en,9.882383,0.0,97.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112749,en,0.894647,676525.0,106.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114279,en,4.561387,0.0,104.0,1995.0,en,no,no,"['Drama', 'War']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10000000,tt0112819,en,9.87957,0.0,119.0,1995.0,en,no,no,"['Action', 'Crime', 'Drama', 'History']",0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
19000000,tt0114272,en,10.979269,0.0,117.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
18000000,tt0113855,en,10.870138,122195920.0,101.0,1995.0,en,yes,no,"['Action', 'Fantasy']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20000000,tt0114681,en,10.448481,21284514.0,106.0,1995.0,en,no,no,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
10000000,tt0113347,en,4.485958,23574130.0,116.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33000000,tt0114369,en,18.45743,327311859.0,127.0,1995.0,en,no,yes,"['Crime', 'Mystery', 'Thriller']",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
55000000,tt0114148,en,13.280069,346079773.0,81.0,1995.0,en,yes,no,"['Adventure', 'Animation', 'Drama', 'Family']",1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114916,en,3.302524,0.0,96.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6000000,tt0114814,en,16.302466,23341568.0,106.0,1995.0,en,no,yes,"['Drama', 'Crime', 'Thriller']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,tt0109950,en,0.595949,0.0,93.0,1994.0,en,no,no,"['Action', 'Thriller', 'Drama']",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
15000000,tt0113819,en,15.899134,6700000.0,95.0,1995.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0110299,it,1.361286,0.0,116.0,1994.0,it,no,no,"['Drama', 'Foreign']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,tt0112499,en,5.982764,0.0,100.0,1995.0,en,no,no,"['Action', 'Adventure', 'Comedy', 'Family']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,tt0113158,en,4.093443,0.0,115.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113541,en,0.307075,0.0,89.0,1997.0,en,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0113321,en,8.416802,17519169.0,103.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0110877,it,10.168437,0.0,108.0,1994.0,it,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112714,fr,0.120789,0.0,100.0,1995.0,fr,no,no,"['Thriller', 'Drama', 'Mystery']",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
45000000,tt0113419,en,10.673296,0.0,96.0,1995.0,en,no,no,"['Adventure', 'Family', 'Fantasy']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20000000,tt0116260,en,4.733526,0.0,101.0,1996.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,tt0113862,en,7.137117,106269971.0,137.0,1995.0,en,no,no,"['Music', 'Drama', 'Family']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,tt0116126,en,11.700115,0.0,89.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0118002,en,2.174487,0.0,96.0,1996.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15000000,tt0115683,en,6.387469,0.0,88.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0116839,en,2.49535,2409225.0,92.0,1996.0,en,yes,no,['Action'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,tt0114753,en,4.046208,0.0,85.0,1995.0,en,no,no,"['Drama', 'Family']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113149,fr,2.518051,0.0,95.0,1995.0,fr,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3500000,tt0113118,en,14.56965,28215918.0,91.0,1995.0,en,yes,yes,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19000000,tt0116367,en,15.339153,25836616.0,108.0,1996.0,en,yes,yes,"['Horror', 'Action', 'Thriller', 'Crime']",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
50000000,tt0113010,en,5.912223,11534477.0,91.0,1995.0,en,no,no,"['Action', 'Thriller', 'Romance']",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,tt0113537,en,3.367276,718490.0,96.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113828,fr,1.479446,0.0,175.0,1995.0,fr,no,no,"['Drama', 'History']",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,tt0115644,en,10.412194,19030691.0,87.0,1996.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15000000,tt0115676,en,2.936443,2042530.0,90.0,1996.0,en,no,no,"['Comedy', 'Family']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20000000,tt0114367,en,12.758848,5781885.0,108.0,1995.0,en,yes,no,['Horror'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,tt0113973,en,0.133893,0.0,70.0,1995.0,en,no,no,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,tt0112744,en,5.756462,0.0,111.0,1995.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
44000000,tt0116731,en,6.010579,0.0,118.0,1996.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,tt0112445,fa,1.196256,0.0,85.0,1995.0,other,no,no,"['Family', 'Drama']",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8000000,tt0114660,en,4.486179,529766.0,116.0,1995.0,en,no,no,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
900000,tt0112379,nl,2.030174,0.0,102.0,1995.0,other,no,no,"['Drama', 'Comedy']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114039,en,0.252287,0.0,115.0,1996.0,en,no,no,"['Romance', 'Drama']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113612,en,0.531159,0.0,108.0,1995.0,en,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0112365,en,2.15166,0.0,118.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38000000,tt0118158,en,9.568604,10300000.0,129.0,1996.0,en,no,no,"['Action', 'Drama']",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
16000000,tt0116151,en,4.814825,0.0,88.0,1996.0,en,no,no,"['Adventure', 'Comedy', 'Family']",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0115697,en,8.963037,32.0,87.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8169363,tt0113972,en,6.848591,8175346.0,90.0,1995.0,en,no,no,"['Crime', 'Drama', 'Thriller']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,tt0113490,en,0.411424,0.0,91.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47000000,tt0117002,en,12.866139,12379402.0,104.0,1996.0,en,no,no,"['Drama', 'Horror', 'Thriller', 'Romance']",0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
14000000,tt0114825,en,9.071127,19800000.0,100.0,1995.0,en,no,no,"['Comedy', 'Horror', 'Romance']",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,tt0115639,en,4.670562,0.0,112.0,1996.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
50000000,tt0115759,en,14.957626,150270147.0,108.0,1996.0,en,no,no,"['Action', 'Adventure', 'Drama', 'Thriller']",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,tt0113403,en,0.513391,0.0,99.0,1995.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000000,tt0113247,fr,12.108196,0.0,98.0,1995.0,fr,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0111173,en,2.657647,0.0,105.0,1994.0,en,no,no,"['Action', 'Adventure', 'Drama', 'Thriller']",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
0,tt0113283,en,0.638211,0.0,106.0,1995.0,en,no,yes,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,tt0115907,en,4.807223,0.0,111.0,1996.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7000000,tt0115734,en,6.904831,560069.0,91.0,1996.0,en,no,no,"['Comedy', 'Crime', 'Drama']",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,tt0117102,en,3.329264,0.0,96.0,1996.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18000000,tt0118040,en,2.464425,0.0,106.0,1996.0,en,no,no,"['Drama', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
12000000,tt0116483,en,9.592265,41205099.0,92.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24000000,tt0112579,en,5.951077,182016617.0,135.0,1995.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0110251,de,1.015068,0.0,104.0,1994.0,de,no,no,"['Drama', 'Comedy', 'Family']",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0117110,en,6.902423,34327391.0,100.0,1996.0,en,yes,no,"['Action', 'Comedy', 'Music', 'Family', 'Adventure']",0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0,tt0112646,en,0.976707,0.0,95.0,1995.0,en,no,no,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,tt0113276,en,0.001346,0.0,110.0,1995.0,en,no,no,['Crime'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72000000,tt0112573,en,20.755149,210000000.0,177.0,1995.0,en,no,no,"['Action', 'Drama', 'History', 'War']",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
1300000,tt0075314,en,14.092713,28262574.0,114.0,1976.0,en,no,no,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7500000,tt0113326,cn,12.314278,32392047.0,91.0,1995.0,other,no,no,"['Crime', 'Action', 'Comedy', 'Thriller']",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
35000000,tt0115645,en,2.938293,0.0,108.0,1996.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,tt0113774,en,0.372697,0.0,114.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13365000,tt0112556,en,1.254885,0.0,106.0,1995.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0112373,en,0.243986,1.0,117.0,1995.0,en,no,yes,"['Documentary', 'Drama', 'Foreign']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,tt0115033,en,6.178497,0.0,99.0,1995.0,en,no,no,"['Comedy', 'Crime', 'Drama']",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,tt0116606,en,2.891918,0.0,92.0,1996.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25000000,tt0114536,en,1.522412,6278139.0,113.0,1995.0,en,no,no,"['Comedy', 'Drama']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0117427,en,1.317878,0.0,100.0,1996.0,en,no,no,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family']",0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,tt0106473,en,0.86539,0.0,90.0,1992.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40000000,tt0103859,en,6.506983,70100000.0,117.0,1992.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0109424,cn,6.778979,0.0,102.0,1994.0,other,no,no,"['Drama', 'Comedy', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114808,it,1.702639,0.0,113.0,1995.0,it,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
7000000,tt0116324,en,5.579088,14702438.0,92.0,1996.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17000000,tt0110647,en,6.252377,0.0,95.0,1994.0,en,yes,no,['Fantasy'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0111055,ar,0.406754,0.0,116.0,1994.0,other,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0110217,en,0.001178,0.0,87.0,1995.0,en,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0114131,en,0.699066,0.0,95.0,1996.0,en,no,no,"['Comedy', 'Romance']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0112364,en,2.197439,0.0,99.0,1995.0,en,no,no,"['Comedy', 'Drama']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0113107,it,0.637554,0.0,101.0,1995.0,it,no,no,"['Drama', 'Romance', 'War']",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
50000000,tt0113451,en,11.418917,9851610.0,95.0,1995.0,en,no,no,"['Action', 'Thriller', 'Mystery', 'Romance']",0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0,tt0114015,es,0.291021,0.0,102.0,1995.0,es,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114500,en,0.001838,0.0,87.0,1995.0,en,no,no,"['Music', 'Documentary']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,tt0116130,en,5.184977,0.0,92.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0113125,en,0.276401,0.0,97.0,1995.0,en,no,no,['Documentary'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,tt0113756,en,0.540436,209935.0,86.0,1995.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0113952,en,0.370342,0.0,91.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0114618,en,0.001205,0.0,122.0,1995.0,en,no,no,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60000000,tt0118055,en,3.402749,0.0,119.0,1996.0,en,no,no,"['Drama', 'Romance']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31000000,tt0115685,en,6.49968,185260553.0,117.0,1996.0,en,no,no,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0113200,en,0.918504,0.0,125.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0112585,en,2.039196,0.0,98.0,1995.0,en,no,no,"['Comedy', 'Drama', 'Romance']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
19000000,tt0112442,en,9.262184,141407024.0,118.0,1995.0,en,yes,no,"['Action', 'Comedy', 'Crime', 'Thriller']",0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,tt0112342,en,2.375865,0.0,81.0,1995.0,en,no,no,"['Action', 'Adventure', 'Drama', 'Family']",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,tt0112461,en,7.415144,0.0,102.0,1995.0,en,no,no,"['Drama', 'Crime']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
4000000,tt0112427,en,0.922958,851545.0,113.0,1995.0,en,no,no,"['Romance', 'Drama', 'Comedy']",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,tt0109093,en,1.759012,0.0,105.0,1994.0,en,no,no,"['Crime', 'Comedy', 'Drama', 'Thriller']",0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
52000000,tt0112384,en,18.761467,355237933.0,140.0,1995.0,en,no,no,['Drama'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28000000,tt0114287,en,10.193549,31596911.0,139.0,1995.0,en,no,no,['Adventure'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,tt0112288,en,3.137285,0.0,82.0,1995.0,en,no,no,"['Drama', 'Horror']",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
100000000,tt0112462,en,13.321354,336529144.0,121.0,1995.0,en,yes,no,"['Action', 'Crime', 'Fantasy']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
0,tt0112495,en,2.04189,0.0,100.0,1995.0,en,no,no,"['Drama', 'Thriller']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2000000,tt0112541,en,11.528147,1275000.0,83.0,1995.0,en,yes,yes,['Comedy'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11000000,tt0109370,en,5.391556,178104.0,91.0,1995.0,en,no,no,"['Action', 'Comedy']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50000000,tt0112642,en,12.812539,287928194.0,100.0,1995.0,en,yes,no,"['Fantasy', 'Comedy', 'Family']",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25000000,tt0112688,en,4.558992,13071518.0,128.0,1995.0,en,no,no,"['Mystery', 'Crime', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
